ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
374954;0,4;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
375024;1,55;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
374955;0,29;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
375026;0,16;PTR;19;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;12;4
374934;0,53;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
9468912;0,25;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
374943;0,7;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
374939;0,27;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374945;0,36;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374949;1,53;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374956;0,21;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
374937;0,28;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374938;0,11;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374952;0,8;BTH;1;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;3;8
374951;0,35;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
435070;0,16;SNE;28;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;305;1;1;1;3;7
405606;0,48;PPH;18;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;7;4
405600;0,4;ORH;3;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;3;8
405605;0,63;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
405610;0,56;TTH;4;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;7;8
405599;0,87;AVP;4;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;9;1;1;1;7;6
405608;0,36;TTH;4;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;7;8
405609;0,37;AVP;4;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;9;1;1;1;7;6
405607;0,71;PPH;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;3;4
405601;0,3;BTH;1;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;7;8
420513;0,41;PTR;19;Gravitaire;005-15820;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;6;4
420684;0,44;TR6;16;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;14;2
420690;0,25;ORH;3;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
